#shining_header
#data type:raman_database
#CAS:108-95-2
#Material scientific name:phenol
#manufacturer:Not entered
#Laser model:Not entered
#Spectrometer model:Not entered
#Testing unit:Not entered
#Test time:Not entered
#Other experimental details:Not entered
#shining_data
-89.568	-3
-86.697	0
-83.828	-4
-80.96	2
-78.095	3
-75.232	5
-72.37	6
-69.511	9
-66.654	14
-63.798	16
-60.945	12
-58.094	10
-55.244	16
-52.397	14
-49.551	20
-46.708	13
-43.866	19
-41.027	11
-38.189	32
-35.354	39
-32.52	55
-29.689	56
-26.859	53
-24.031	57
-21.206	71
-18.382	79
-15.56	89
-12.74	115
-9.922	134
-7.106	171
-4.292	249
-1.48	511
1.33	1547
4.138	4567
6.944	8477
9.748	11674
12.551	14972
15.351	14021
18.149	6989
20.946	1525
23.74	349
26.533	178
29.324	133
32.113	101
34.9	79
37.684	54
40.467	59
43.249	41
46.028	46
48.805	39
51.58	35
54.354	38
57.125	27
59.895	28
62.663	25
65.429	27
68.192	27
70.955	38
73.715	36
76.473	32
79.229	31
81.984	36
84.736	35
87.487	46
90.236	48
92.983	58
95.728	59
98.471	46
101.212	23
103.951	7
106.689	17
109.424	6
112.158	9
114.89	6
117.62	7
120.348	3
123.075	4
125.799	3
128.522	19
131.242	26
133.961	36
136.678	59
139.393	73
142.107	95
144.818	96
147.528	110
150.235	115
152.941	114
155.645	113
158.347	126
161.048	119
163.746	123
166.443	128
169.138	115
171.831	123
174.522	115
177.212	125
179.899	120
182.585	119
185.269	111
187.951	123
190.631	112
193.31	114
195.986	108
198.661	98
201.334	90
204.005	98
206.675	93
209.342	90
212.008	84
214.672	98
217.334	83
219.995	89
222.653	87
225.31	98
227.965	86
230.618	90
233.27	96
235.919	104
238.567	124
241.213	132
243.857	156
246.5	187
249.14	202
251.779	222
254.416	220
257.052	216
259.685	194
262.317	172
264.947	115
267.576	105
270.202	94
272.827	90
275.45	80
278.071	72
280.69	70
283.308	64
285.924	64
288.538	74
291.151	65
293.761	70
296.37	69
298.978	59
301.583	63
304.187	58
306.789	63
309.389	52
311.987	68
314.584	67
317.179	65
319.772	66
322.364	65
324.954	67
327.542	65
330.128	63
332.713	64
335.296	59
337.877	64
340.456	68
343.034	67
345.61	62
348.184	68
350.757	59
353.328	63
355.897	62
358.464	75
361.03	67
363.594	76
366.156	69
368.717	63
371.276	66
373.833	65
376.389	71
378.942	61
381.495	75
384.045	65
386.594	60
389.141	63
391.686	68
394.23	62
396.772	70
399.312	67
401.851	76
404.388	66
406.923	79
409.457	69
411.988	83
414.519	74
417.047	68
419.574	78
422.099	97
424.623	91
427.145	84
429.665	90
432.184	88
434.7	89
437.216	75
439.729	90
442.241	82
444.751	91
447.26	81
449.767	84
452.272	81
454.776	88
457.278	86
459.778	81
462.277	80
464.774	74
467.27	84
469.763	80
472.256	72
474.746	86
477.235	84
479.722	74
482.208	84
484.692	77
487.174	78
489.655	77
492.134	81
494.612	85
497.087	84
499.562	83
502.034	85
504.505	86
506.975	87
509.442	89
511.909	87
514.373	91
516.836	101
519.297	100
521.757	98
524.215	106
526.672	94
529.127	114
531.58	137
534.032	161
536.482	195
538.93	217
541.377	247
543.822	237
546.266	216
548.708	176
551.149	142
553.588	112
556.025	99
558.461	96
560.895	82
563.328	84
565.759	77
568.188	85
570.616	75
573.042	74
575.467	76
577.89	82
580.312	63
582.732	81
585.15	75
587.567	78
589.983	80
592.396	74
594.809	77
597.219	73
599.628	70
602.036	78
604.442	83
606.846	78
609.249	76
611.65	75
614.05	89
616.448	89
618.845	113
621.24	153
623.633	180
626.025	216
628.416	207
630.805	222
633.192	188
635.578	153
637.962	103
640.345	100
642.726	86
645.106	86
647.484	81
649.861	79
652.236	78
654.609	84
656.981	74
659.352	82
661.721	75
664.089	81
666.454	78
668.819	78
671.182	87
673.543	72
675.903	83
678.262	78
680.618	81
682.974	73
685.328	79
687.68	76
690.031	75
692.38	69
694.728	82
697.074	77
699.419	78
701.763	77
704.104	75
706.445	75
708.784	69
711.121	81
713.457	69
715.791	74
718.124	72
720.455	67
722.785	76
725.114	65
727.441	68
729.766	65
732.09	70
734.413	72
736.734	77
739.053	71
741.371	70
743.688	75
746.003	78
748.316	75
750.629	86
752.939	83
755.249	90
757.556	89
759.863	98
762.167	103
764.471	112
766.773	110
769.073	115
771.372	114
773.67	93
775.966	109
778.26	97
780.554	101
782.845	93
785.136	104
787.424	96
789.712	105
791.998	104
794.282	104
796.565	120
798.847	115
801.127	134
803.406	140
805.683	147
807.959	165
810.233	213
812.506	279
814.778	386
817.048	493
819.317	574
821.584	633
823.85	609
826.114	526
828.377	461
830.639	407
832.899	347
835.157	354
837.415	318
839.671	306
841.925	273
844.178	234
846.43	220
848.68	169
850.929	168
853.176	145
855.422	148
857.666	131
859.91	112
862.151	103
864.392	112
866.631	101
868.868	111
871.104	99
873.339	106
875.572	97
877.804	96
880.035	86
882.264	88
884.492	93
886.718	82
888.943	84
891.167	77
893.389	84
895.61	75
897.829	76
900.047	83
902.264	76
904.479	71
906.693	85
908.905	74
911.116	74
913.326	83
915.535	73
917.741	81
919.947	78
922.151	76
924.354	70
926.556	78
928.756	80
930.955	75
933.152	74
935.348	83
937.543	83
939.736	87
941.928	92
944.119	87
946.308	91
948.496	93
950.682	101
952.867	95
955.051	95
957.234	96
959.415	112
